symbol,token
741AP30-SG,15262
747AP37-SG,15267
SEPC-EQ,15308
747PN43-SG,15319
746WB46-SG,15323
TITAGARH-EQ,15414
ACL-EQ,15420
739HR31-SG,15500
APOLLOHOSP-EQ,157
733TN33-SG,15749
73AP38-SG,16071
BHARATWIRE-EQ,16123
729HR29-SG,16220
736MP33-SG,16229
INFIBEAM-EQ,16249
EBBETF0430-EQ,16253
APOLLOTYRE-EQ,163
IPCALAB-EQ,1633
736WB43-SG,16379
66AS30A-SG,1645
729HP31-SG,16641
734AS33A-SG,16645
732HR33-SG,16648
737JK38-SG,16650
GOKUL-EQ,16705
UBL-EQ,16713
734HR31-SG,16784
735MH32-SG,16785
IKIO-EQ,16822
ZFCVINDIA-EQ,16915
735AP40-SG,16935
747GA38-SG,16982
742TN43-SG,16992
739TS51-SG,16997
GENSOL-EQ,17010
85IFL26-NX,17024
PALREDTEC-BE,17059
66RJ30C-SG,1715
743AP42-SG,17251
651KA30C-SG,1727
BLS-EQ,17279
737BR30-SG,17322
735TN33A-SG,17323
736AP38A-SG,17325
736MZ38A-SG,17326
SALONA-EQ,17351
665AP36-SG,1739
739TN33B-SG,17454
736RJ41-SG,17460
925SCL25C-AR,17501
902SCL26I-AW,17521
MOLDTECH-EQ,17625
SUNTECK-EQ,17641
POKARNA-EQ,17651
745AP40A-SG,17668
890NHB34-N7,1767
ALOKINDS-EQ,17675
VIJIFIN-BE,17695
LTGILTBEES-EQ,17700
QUESS-EQ,17704
KANPRPLA-EQ,1782
AHLUCONT-EQ,17833
747TS32-SG,17834
925IHFL25D-N6,17928
HINDCOPPER-EQ,17939
BPF02D2G-MF,18006
WHIRLPOOL-EQ,18011
JYOTISTRUC-EQ,1802
718GS2033-GS,18025
KABRAEXTRU-EQ,1805
BPF02IMD-MF,18065
BPF01D1R-MF,18165
VASCONEQ-EQ,18110
BPF01MDR-MF,18171
IF3DPD-MF,18174
FISTIP3MDP-MF,18183
HFMPCC75DD-MF,18191
FISTIP3WDP-MF,18197
747KL37-SG,18215
74KL41-SG,18336
SAHAJ-SM,18354
PERSISTENT-EQ,18365
NDGL-EQ,18371
TCPLPACK-EQ,184
743TN33-SG,18404
744AP40-SG,18411
746AP41-SG,18539
879SCL26-NC,18632
915SCL26-NE,18636
DIAMINESQ-EQ,18644
CHAVDA-SM,18654
745HR35A-SG,18680
741JK53-SG,18687
74GJ27-SG,18688
746TS30-SG,18690
MADHUSUDAN-SM,18728
YATRA-EQ,18760
965SCL25E-BF,18814
579GS2030-GS,18857
664SK31-SG,1888
KINGFA-EQ,18944
749MN35-SG,15315
QGOLDHALF-EQ,15330
667TS50-SG,1535
GOLDETFADD-EQ,15356
NAHARCAP-EQ,15360
DHANI-EQ,15384
APCOTEXIND-EQ,154
DPSCLTD-EQ,15419
739AP33-SG,15526
HCG-EQ,15555
NXST-RR,15815
716HR27-SG,15966
732TN33-SG,16029
733NL33-SG,16035
733UP33-SG,16049
737JK35-SG,16069
GODHA-BE,1610
FAIRCHEMOR-EQ,1614
KRISHCA-ST,16147
732MH32-SG,16227
737PN38-SG,16367
734RJ33A-SG,16646
733AP33-SG,16647
SAHANA-ST,16715
725GS2063-GS,16733
RANEENGINE-EQ,16751
74MP34-SG,16805
LOTUSEYE-EQ,16807
736AP38-SG,16808
73GS2053-GS,16865
20MICRONS-EQ,16921
736JK35-SG,16929
INDBANK-EQ,16933
736MZ38-SG,16934
74MH31-SG,16975
742AP41-SG,16988
739KL52-SG,16998
532RJ25-SG,1700
THYROCARE-EQ,17032
SGBJ28VIII-GB,17110
745TN43-SG,17112
744ML31-SG,17116
744TN33A-SG,17119
747PN34-SG,17127
AARTECH-BE,17164
SGBJUN31I-GB,17202
SYNOPTICS-SM,17203
ARMANFIN-EQ,17263
744TS39-SG,17224
SENCO-EQ,17271
743AP35-SG,17457
920SCL23A-AO,17478
948SCL26I-AX,17528
MGL-EQ,17534
971SCL28I-BC,17564
868NHB29-N3,1758
893NHB29-N6,1765
749RJ34-SG,17652
745KL40-SG,17653
MIDSELIETF-EQ,17702
YATHARTH-EQ,17738
SHILPAMED-EQ,17752
SOMICONVEY-EQ,17794
957NIDO26-N5,17864
66RJ30-SG,18
YUDIZ-SM,18040
75GA33-SG,18082
DOLPHIN-BE,18136
KPIL-EQ,1814
BPF01D2G-MF,18166
BPF01D3D-MF,18167
BPF01D3R-MF,18168
BPF01GPG-MF,18169
BPF01QDR-MF,18173
FICRF3DP-MF,18178
FISTIPD3GP-MF,18198
678KA32-SG,182
749BR31-SG,18204
ARSSINFRA-BE,18206
MANINFRA-EQ,18226
PYRAMID-EQ,18250
KAMATHOTEL-EQ,1826
IVZINGOLD-EQ,18292
LGBBROSLTD-EQ,18321
659RJ31-SG,1836
747GA33-SG,18403
POWERINDIA-EQ,18457
SABEVENTS-BE,18501
CUPID-EQ,18520
664AP39-SG,1866
GICL-ST,18816
KSL-EQ,18889
1025SCL33A-N1,18897
657TN31-SG,1890
UNIVASTU-BE,18979
743TN53A-SG,18922
749GA33A-SG,18945
PODDARMENT-EQ,19036
10IIFL29-N6,19045
663AP37-SG,1905
AARVI-EQ,19073
NBIFIN-EQ,19111
KIOCL-EQ,19126
UMESLTD-EQ,19142
752TN33-SG,19162
IMFA-EQ,19235
MONIFTY500-EQ,19237
TERASOFT-BE,19296
SFMP6GR-MF,10060
SHYAMCENT-BE,10192
781RJ47-SG,10219
782AS32-SG,10246
795AP40A-SG,10255
792AP42A-SG,10257
MWL-SM,10311
797AP39-SG,10336
803AP36-SG,10355
FINPIPE-EQ,1041
MUTHOOTCAP-EQ,10415
797WB42-SG,10454
781RJ32-SG,10462
806JK37-SG,10477
768AS32-SG,10528
515GS2025-GS,1054
767NL32-SG,10541
765RJ32-SG,10543
764TN32-SG,10544
TCI-EQ,10580
SHREEPUSHK-EQ,10588
BHARTIARTL-EQ,10604
796AP40-SG,10643
793TN42-SG,10644
775TN32-SG,10651
MNC-EQ,10676
736NTPC25D-NB,10746
65GJ30-SG,1075
OAL-EQ,10768
766UP32-SG,10771
647KA30-SG,1080
761HR32-SG,10853
STCINDIA-EQ,10948
745AP40-SG,10962
756WB42-SG,11161
SGBAUG30-GB,11192
AXISILVER-EQ,11193
INDIGO-EQ,11195
MAKS-ST,11222
HDFCVALUE-EQ,11260
IGL-EQ,11262
749GJ26-SG,11273
UPL-EQ,11287
778MZ37-SG,11294
76AP28-SG,11299
MUKANDLTD-EQ,11325
AFFLE-EQ,11343
TTKHLTCARE-EQ,11369
779RJ32-SG,11404
RKFORGE-EQ,11411
77KL47-SG,11424
SPANDANA-EQ,11435
PILANIINVS-EQ,11445
GIPCL-EQ,1145
LLOYDS-SM,11472
785AS32A-SG,11505
NIITLTD-EQ,11522
GLAXO-EQ,1153
HDFC1359DD-MF,11559
HDFC1359DG-MF,11560
LINCOLN-EQ,11596
WELENT-EQ,11626
BOHRAIND-BE,11641
747GJ25-SG,11674
784AS32-SG,11679
784RJ32-SG,11691
788MP33-SG,11695
OMFURN-SM,117
SUKHJITS-EQ,11804
IIFL-EQ,11809
WELCORP-EQ,11821
87SCL27A-ZK,11846
915SCL27A-ZL,11854
89SCL24A-ZM,11857
782NL32A-SG,11881
787HP34-SG,11886
MSPL-EQ,11919
KANSAINER-EQ,1196
HNDFDS-EQ,12173
66HP30-SG,1221
65GJ30A-SG,1233
ZIMLAB-EQ,12384
SFMP72GD-MF,12561
755AP29-SG,12661
HYBRIDFIN-EQ,12809
KRISHANA-EQ,12847
V1NSETEST-EQ,12863
SARVESHWAR-EQ,12913
ABB-EQ,13
755BR32A-SG,13038
UNIPARTS-EQ,13057
ORIENTCER-EQ,13111
751HR29-SG,13122
755GA32-SG,13124
GSEC10IETF-EQ,13143
UTIDFP35P2-MF,13152
ABSLFTUBRG-MF,13234
VAKRANGEE-EQ,13342
761RJ32-SG,13377
765KA34-SG,13384
766TS34-SG,13387
767TS35-SG,13389
GPIL-EQ,13409
BALPHARMA-EQ,13441
PIONEEREMB-BE,13466
939SCL27-ZZ,13492
NECCLTD-EQ,13522
HOMESFY-SM,13526
RAMANEWS-BE,13569
VOLTAMP-EQ,13577
RBMINFRA-ST,13578
ACE-EQ,13587
SFMP74DD-MF,13665
759TS37-SG,13719
GTLINFRA-EQ,13745
HCC-EQ,1375
NAUKRI-EQ,13751
668JH32-SG,1376
757GJ32-SG,13773
GESHIP-EQ,13776
673PN40-SG,1382
674TS50-SG,1386
76KL45-SG,13911
765HR30-SG,13957
JASH-EQ,13982
768TS42-SG,13993
766RJ43-SG,13994
HINDOILEXP-EQ,1403
10IFSL26-N7,14049
SAGCEM-EQ,14068
756TS48-SG,14112
756RJ48-SG,14113
771AS33-SG,14160
762MN35-SG,14165
762MZ36-SG,14166
759TS40A-SG,14167
LRRPL-ST,14211
HDFCBSE500-EQ,14230
REDINGTON-EQ,14255
ORIENTBELL-EQ,14278
668MZ31-SG,1430
OSWALSEEDS-EQ,14305
HDFC2638RQ-MF,14332
HDFC2638DQ-MF,14336
774MH33-SG,14378
777JK35-SG,14437
775UP38-SG,14442
BANSWRAS-EQ,14511
769MH31-SG,14531
773BR33-SG,14534
DISHTV-EQ,14537
774MZ38-SG,14558
ZENITHSTL-EQ,14562
777RJ33-SG,14642
990SCL26D-AH,14720
HFMPM23DND-MF,14731
HFMPM23RGR-MF,14735
031NSETEST-EQ,14753
041NSETEST-EQ,14755
IDBI-EQ,1476
NELCAST-EQ,14761
071NSETEST-EQ,14764
MEGASOFT-BE,14797
ABSLFTUJRG-MF,14802
ABSLFTUJRN-MF,14804
775CG31-SG,14816
783RJ50-SG,14854
PURVA-EQ,14922
CIEINDIA-EQ,14937
RBA-EQ,1494
MOTILALOFS-EQ,14947
F13RG-MF,14948
77AP32-SG,14958
SHIVAMILLS-EQ,1497
749MH30-SG,15015
DELTACORP-EQ,15044
699GS2026-GS,15046
ASTERDM-EQ,1508
729IRFC26-NN,15134
RHL-BE,15162
764IRFC31-NO,15168
BIRLAMONEY-BE,15243
CEATLTD-EQ,15254
744TN33-SG,15310
747WB43-SG,15320
SGBDC27VII-GB,15432
ATALREAL-EQ,15649
727GJ31-SG,15744
REMUS-SM,16154
BECTORFOOD-EQ,1628
IONEXCHANG-EQ,1630
735RJ43-SG,16374
732TS49-SG,16397
651KA30B-SG,1650
ANDHRAPAP-EQ,166
ITC-EQ,1660
736AP37-SG,16649
733AP43-SG,16654
BAJAJ-AUTO-EQ,16669
BAJAJFINSV-EQ,16675
DIGISPICE-EQ,16683
741UP34-SG,16803
801TCH28-N7,16838
URBAN-SM,16888
DPWIRES-EQ,16900
739TN33A-SG,16928
PVTBANIETF-EQ,11386
775GJ32-SG,11400
742CG31-SG,16976
TPHQ-BE,17000
778MZ32-SG,11401
XPROINDIA-EQ,11407
NDTV-EQ,11427
EXCELINDUS-EQ,11471
ULTRACEMCO-EQ,11532
773BR32-SG,11598
777JK37-SG,11604
66AS30-SG,1163
SALSTEEL-EQ,11634
KOTARISUG-EQ,11647
DWARKESH-EQ,11667
JSWSTEEL-EQ,11723
728IRFC30-NG,11730
GNFC-EQ,1174
775AP29-SG,11760
782AS32A-SG,11764
784TS40-SG,11768
GODFRYPHLP-EQ,1181
MANGALAM-EQ,11817
CYBERMEDIA-BE,11845
757GJ26-SG,11866
776HR30-SG,11867
78TN42-SG,11877
NECLIFE-EQ,11927
FUSION-EQ,11932
GOLDIAM-EQ,11971
765PN42-SG,11981
SUZLON-EQ,12018
PRAXIS-EQ,1204
UTIRQP35P1-MF,12071
532CG25-SG,1209
HDFCPVTBAN-EQ,12108
77BR32-SG,12300
769GA32A-SG,12301
763TS43-SG,12321
667MH32-SG,1251
GUJALKALI-EQ,1267
762AS32-SG,12666
764AP33-SG,12689
763KA37-SG,12692
NPBET-EQ,12978
PRITIKA-ST,12986
DHARMAJ-EQ,13001
360ONE-EQ,13061
VIMTALABS-EQ,13101
757HP32-SG,13117
74ML27-SG,13118
UTIRFP35P2-MF,13158
UTIRMP35P2-MF,13163
ABSLFTUBRN-MF,13235
763HR32-SG,13244
SAKUMA-BE,13255
KEC-EQ,13260
INDOTECH-EQ,13275
KEI-EQ,13310
762AR32-SG,13372
SDBL-EQ,1338
768PN39-SG,13398
767WB41-SG,13401
SGBN28VIII-GB,1342
ATLANTAA-BE,13582
ANDHRSUGAR-EQ,136
762HR31-SG,13600
SKYGOLD-BE,13634
66MN30-SG,1368
762UK33-SG,13716
763TS36-SG,13718
CMNL-SM,13731
AARVEEDEN-BE,13775
762UP35-SG,13778
855IREDA34-N3,1383
BANCOINDIA-EQ,13880
769UP35-SG,13891
757MH31-SG,13913
PLASTIBLEN-EQ,13920
880IREDA34-N6,1393
UTIDMP35P3-MF,13942
771AP36-SG,13972
772UP36-SG,13973
LUMAXTECH-EQ,14014
VEEDOL-EQ,14019
SARLAPOLY-BE,14047
SANGHVIMOV-EQ,14058
761TS32-SG,14088
764MP33-SG,14093
BTML-BE,14152
77HR31-SG,14159
66RJ30B-SG,1422
HDFCSML250-EQ,14233
GANESHHOUC-EQ,14339
769MP43-SG,14352
758KL49-SG,14355
APOLLOPIPE-EQ,14361
773HR32-SG,14369
LAOPALA-EQ,14423
771BR33-SG,14431
HLVLTD-EQ,1448
593CG26-SG,1449
ABSLLIQUID-EQ,14518
ICRA-EQ,14523
769TS32-SG,14533
655GA30A-SG,1454
768GJ33-SG,14548
PHOENIXLTD-EQ,14552
QFIL-SM,14613
SIMBHALS-BE,14616
CHEMBOND-EQ,14618
HILTON-EQ,14627
773AP32-SG,14640
773MH34-SG,14645
778UP35-SG,14649
ACCURACY-EQ,1465
ADVANIHOTR-EQ,14745
061NSETEST-EQ,14762
151NSETEST-EQ,14782
776UK33-SG,14820
775SK33-SG,14822
778RJ33-SG,14824
WSI-BE,14832
SAHYADRI-EQ,14900
IFCI-EQ,1491
706GS2028-GS,14970
MANGCHEFER-EQ,15007
758NL33-SG,15021
ASCOM-ST,15030
RELIGARE-EQ,15068
CUBEINVIT-IV,15078
756RJ33-SG,15095
762PN38-SG,15100
735IRFC31-NM,15112
MADHAV-EQ,15151
925SFIL25I-NP,15205
PPAP-EQ,15209
AMBIKCO-EQ,15234
1050SFIL28-NV,15240
1003SFIL28-NX,15249
743AP31-SG,15264
746TS48A-SG,15333
EIHAHOTELS-EQ,15399
ATAM-EQ,15404
RKEC-EQ,1547
735AP39-SG,15759
GILLETTE-EQ,1576
732AP43-SG,15780
HINDWAREAP-EQ,15883
MILTON-SM,159
72MH28-SG,15971
726MH30-SG,15973
PRINCEPIPE-EQ,16045
737NL33-SG,16235
732TN53-SG,16274
736RJ33-SG,16346
736HR33-SG,16364
MMP-EQ,16395
657HP30-SG,1644
CRAYONS-ST,16442
657HP30A-SG,1647
PROV-SM,16483
66UP30A-SG,1649
674GA30-SG,165
729TN53-SG,16656
GHCLTEXTIL-EQ,16696
737NL33A-SG,16802
83TCHF28-N9,16872
TCHF30-NB,16894
VILINBIO-SM,16954
541GA25-SG,1697
742ML32-SG,16977
PATANJALI-EQ,17029
588CG26-SG,1703
9IIFL28-Y0,17041
HMAAGRO-EQ,17053
MAGSON-ST,17091
745AS33-SG,17117
91SFL27-ZI,17172
SHRIPISTON-EQ,17186
JBCHEPHARM-EQ,1726
NAGAFERT-EQ,17295
LLOYDSME-EQ,17313
734TS44-SG,17328
MHRIL-EQ,17333
1102NFL26-N8,17352
UTKARSHBNK-EQ,17358
665TR35-SG,1738
SETF10GILT-EQ,17395
74BR30-SG,17446
665AP40-SG,1745
741RJ33-SG,17456
CONTROLPR-EQ,17477
950SCL23A-AP,17485
EXPLEOSOL-EQ,17486
888SCL25A-AQ,17488
SETCO-BE,17518
MAHASTEEL-BE,17531
PVTBANKADD-EQ,17576
NIITMTS-EQ,17747
KKVAPOW-SM,17781
10NIDO26-N6,17866
GODREJPROP-EQ,17875
DBCORP-EQ,17881
HDIL-BZ,17920
BEARDSELL-EQ,17933
84CIFCL28-NA,17958
AWHCL-EQ,1797
UNITEDTEA-EQ,17999
MBLINFRA-EQ,18029
751MN35-SG,18084
75UP35-SG,18085
751PN36-SG,18087
747KL39-SG,18097
TVSSCS-EQ,18151
BPF02RWR-MF,18163
BPF01QDD-MF,18172
IFD3GPD-MF,18177
FICRFD3DPD-MF,18180
LORDSCHLO-BE,18235
744HR33-SG,18323
745AP34-SG,18332
653TN31-SG,1839
747AS33-SG,18401
744MN35-SG,18406
744HR35-SG,18407
744TS39A-SG,18410
74TS43-SG,18412
74AP43-SG,18413
66UP31-SG,1842
748AP38A-SG,18518
CAGL25-N8,18462
CAGL26-NA,18473
970CAGL28-ND,18487
746MH33-SG,18531
746TS42-SG,18537
SCLZC26A-NF,18638
ICICIPRULI-EQ,18652
